Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","7393974","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","7571450","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","7945634","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","8543598","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","6046049","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","5947224","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","4572794","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","4402925","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","3413491","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","2478118","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","1694691","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","1628118","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","2442053","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2000","2000","1000 USD","17179161","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2001","2001","1000 USD","17144028","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2002","2002","1000 USD","20535747","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2003","2003","1000 USD","19224998","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","25349486","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","26053291","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","26720416","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","26916223","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","31251288","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","29933278","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","33445474","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","46056237","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","49506705","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","45473334","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","43247856","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","34818809","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","35661871","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","40740244","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","40114856","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","34399060","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","36560660","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","50656934","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","56619826","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2000","2000","1000 USD","46917712","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2001","2001","1000 USD","41335596","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2002","2002","1000 USD","41298150","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2003","2003","1000 USD","52314366","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","60792832","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","69596934","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","80291152","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","111507787","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","142895665","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","134189565","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","165873056","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","207095401","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","198778540","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","204955908","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","200589967","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","151571501","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","155875896","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","182408238","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","151055420","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","147946894","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","138864394","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","188232707","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","219612428","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","1106347","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","875695","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","1033066","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","757795","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","1038576","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","1131240","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","1286045","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","1142287","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","979294","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","1034263","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","935643","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2000","2000","1000 USD","1616413","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2001","2001","1000 USD","1492097","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2002","2002","1000 USD","1241250","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2003","2003","1000 USD","1750742","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","2312294","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","2624778","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","2856744","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","3401531","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","4068647","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","4077819","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","3184001","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","4672178","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","5298871","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","4473099","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","4073902","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","3783063","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","3560515","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","4255283","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","6400181","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","6706119","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","6901990","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","6924006","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","7971229","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2000","2000","1000 USD","23407231","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2001","2001","1000 USD","28125775","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2002","2002","1000 USD","27088639","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2003","2003","1000 USD","30980455","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","39095962","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","43095732","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","50160628","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","65437358","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","88908620","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","69087045","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","69665386","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","96786381","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","90404365","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","99148352","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","97356928","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","76120689","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","69415332","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","78891416","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","76226474","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","83226915","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","82597958","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","97412339","E","Estimated value"
"QV","Value of Agricultural Production","643","Russian Federation","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","118385229","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2000","2000","1000 USD","7543395","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2001","2001","1000 USD","8459745","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2002","2002","1000 USD","7392552","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2003","2003","1000 USD","9770094","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","10158334","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","12636807","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","13774585","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","18126195","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","20524480","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","20639974","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","22679069","E","Estimated value"
"QV","Value of Agricultural Production","736","Sudan (former)","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","20478704","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2000","2000","1000 USD","1247791","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2001","2001","1000 USD","1401325","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2002","2002","1000 USD","2016902","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2003","2003","1000 USD","1647339","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","2406235","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","2052234","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","2482977","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","2293668","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","3559401","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","3261474","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","4149160","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","3938027","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","6901476","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","8207598","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","9190189","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","8753884","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","8285095","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","8274645","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","9192524","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","8887612","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","9841128","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","9997433","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","9754881","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","419451","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","659094","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","558029","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","989925","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","1047301","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","2661452","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","2902860","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","2916688","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","3707038","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","3887059","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","2636703","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","3523751","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","3823038","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","3635808","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","3500070","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","2745199","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","3187630","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2022","2022","1000 USD","3756354","E","Estimated value"
