Country Name,Country Code,2001,2006,2011,2016,2021
Afghanistan,AFG,652230,652230,652230,652230,652230
Africa Eastern and Southern,AFE,14571611,14720228.25,14721207.05,14845113.97,14845090.09
Africa Western and Central,AFW,9045780,9045780,9045780,9045780,9045773
Albania,ALB,27400,27400,27400,27400,27400
Algeria,DZA,2381740,2381740,2381740,2381741,2381741
American Samoa,ASM,200,200,200,200,200
Andorra,AND,470,470,470,470,470
Angola,AGO,1246700,1246700,1246700,1246700,1246700
Antigua and Barbuda,ATG,440,440,440,440,440
Arab World,ARB,13611431,13611311,13608828,13100529,13100559
Argentina,ARG,2736690,2736690,2736690,2736690,2736690
Armenia,ARM,28470,28470,28470,28470,28470
Aruba,ABW,180,180,180,180,180
Australia,AUS,7682300,7682300,7682300,7692020,7692020
Austria,AUT,82520,82520,82520,82520,82520
Azerbaijan,AZE,82604,82637,82658,82670,82650
Bahamas,BHS,10010,10010,10010,10010,10010
Bahrain,BHR,710,740,767,779,790
Bangladesh,BGD,130170,130170,130170,130170,130170
Barbados,BRB,430,430,430,430,430
Belarus,BLR,202844,202904,202910,202988,202950
Belgium,BEL,30280,30280,30280,30280,30280
Belize,BLZ,22810,22810,22810,22810,22810
Benin,BEN,112760,112760,112760,112760,112760
Bermuda,BMU,54,54,54,54,54
Bhutan,BTN,39800,38117,38117,38144,38140
Bolivia (Plurinational State of),BOL,1083300,1083300,1083300,1083300,1083300
Bosnia and Herzegovina,BIH,51200,51200,51200,51200,51200
Botswana,BWA,566730,566730,566730,566730,566730
Brazil,BRA,8358140,8358140,8358140,8358140,8358140
British Virgin Islands,VGB,150,150,150,150,150
Brunei Darussalam,BRN,5270,5270,5270,5270,5270
Bulgaria,BGR,110630,108630,108560,108560,108560
Burkina Faso,BFA,273600,273600,273600,273600,273600
Burundi,BDI,25680,25680,25680,25680,25680
Cabo Verde,CPV,4030,4030,4030,4030,4030
Cambodia,KHM,176520,176520,176520,176520,176520
Cameroon,CMR,472710,472710,472710,472710,472710
Canada,CAN,8965590,8965590,8965590,8965590,8788700
Caribbean small states,CSS,404850,404850,404850,404850,404850
Cayman Islands,CYM,240,240,240,240,240
Central African Republic,CAF,622980,622980,622980,622980,622980
Central Europe and the Baltics,CEB,1104969,1103291,1104209,1105825,1104953.23
Chad,TCD,1259200,1259200,1259200,1259200,1259200
Channel Islands,CHI,198,198,198,198,198
Chile,CHL,743532,743532,743532,743532,743532
China,CHN,9388214.2,9388211.4,9388211,9388210,9388210
"China, Hong Kong SAR",HKG,1050,1050,1050,1050,1050
"China, Macao SAR",MAC,26,28.6,29.9,30.5,33
Colombia,COL,1109500,1109500,1109500,1109500,1109500
Comoros,COM,1861,1861,1861,1861,1861
Democratic Republic of the Congo,COD,2267050,2267050,2267050,2267050,2267050
Congo,COG,341500,341500,341500,341500,341500
Costa Rica,CRI,51060,51060,51060,51060,51060
Cote d'Ivoire,CIV,318000,318000,318000,318000,318000
Croatia,HRV,55912,55964,55964,55964,55960
Cuba,CUB,107400,106430,106863,104040,103800
Curacao,CUW,,,444,444,444
Cyprus,CYP,9240,9240,9240,9240,9240
Czechia,CZE,77270,77250,77230,77210,77186.83
Denmark,DNK,40000,40000,40000,40000,40000
Djibouti,DJI,23180,23180,23180,23180,23180
Dominica,DMA,750,750,750,750,750
Dominican Republic,DOM,48310,48310,48310,48310,47531
Early-demographic dividend,EAR,33187040,33313719.22,33314027.06,33316932.51,33324923.74
East Asia & Pacific,EAS,24447298.94,24459118.09,24459540.85,24469160.9,24484453.47
East Asia & Pacific (excluding high income),EAP,15975051.94,15986704.49,15986805.95,15986401.4,16001571.47
East Asia & Pacific (IDA & IBRD countries),TEA,15854661.94,15866314.49,15866415.95,15866011.4,15881181.47
Ecuador,ECU,248360,248360,248360,248360,248360
"Egypt, Arab Rep.",EGY,995450,995450,995450,995450,995450
El Salvador,SLV,20720,20720,20720,20720,20720
Equatorial Guinea,GNQ,28050,28050,28050,28050,28050
Eritrea,ERI,101000,121004.031,121088.989,121077.459,121040.829
Estonia,EST,42390,42390,42390,43470,42750
Eswatini,SWZ,17200,17200,17200,17200,17200
Ethiopia,ETH,1000000,1128613.221,1128575.061,1128558.509,1128571.265
Euro area,EMU,2678816.46,2678576.46,2679164.46,2680670.06,2680151.404
Europe & Central Asia,ECS,27342569.55,27438907.43,27439247.81,27444905.09,27440754.49
Europe & Central Asia (excluding high income),ECA,22297669,22393931,22392687,22396389,22393223
Europe & Central Asia (IDA & IBRD countries),TEC,22889581,22986195,22985051,22988623,22985363
European Union,EUU,3995588.16,3993670.16,3995188.16,3997244.7,3996581.774
Faroe Islands,FRO,1396,1396,1396,1396,1370
Fiji,FJI,18270,18270,18270,18270,18270
Finland,FIN,304590,304110,303890,303910,303947.7
Fragile and conflict affected situations,FCS,20185971,20334378.25,20331155.05,20454324.97,20454306.09
France,FRA,547567,547557,547557,547557,547557
French Polynesia,PYF,3471,3471,3471,3471,3471
Gabon,GAB,257670,257670,257670,257670,257670
Gambia,GMB,10120,10120,10120,10120,10120
Georgia,GEO,69490,69490,69490,69490,69490
Germany,DEU,348900,348720,348560,349360,349390
Ghana,GHA,227540,227540,227540,227540,227533
Gibraltar,GIB,10,10,10,10,10
Greece,GRC,128900,128900,128900,128900,128900
Greenland,GRL,410450,410450,410450,410450,410450
Grenada,GRD,340,340,340,340,340
Guam,GUM,540,540,540,540,540
Guatemala,GTM,107160,107160,107160,107160,107160
Guinea,GIN,245720,245720,245720,245720,245720
Guinea-Bissau,GNB,28120,28120,28120,28120,28120
Guyana,GUY,196850,196850,196850,196850,196850
Haiti,HTI,27560,27560,27560,27560,27560
Heavily indebted poor countries (HIPC),HPC,19753191,19901808.25,19902820.05,19394796.97,19394766.09
High income,HIC,35444233.55,35444506.03,35432466.71,35444118.59,35266437.49
Honduras,HND,111890,111890,111890,111890,111890
Hungary,HUN,89620,89610,90530,91260,91260
IBRD only,IBD,70870563.94,70978961.49,70975596.95,70975251.4,70980294.47
Iceland,ISL,100250,100250,100250,100250,100830
IDA & IBRD total,IBT,95685815.94,95940866.75,95938293,96064166.37,96069043.56
IDA blend,IDB,4379881,4379820,4379779,4384561,4384623
IDA only,IDX,20435371,20582085.25,20582917.05,20704353.97,20704126.09
IDA total,IDA,24815252,24961905.25,24962696.05,25088914.97,25088749.09
India,IND,2973190,2973190,2973190,2973190,2973190
Indonesia,IDN,1877519,1877519,1877519,1877519,1892555.47
Iran (Islamic Republic of),IRN,1628760,1628760,1628760,1628760,1622500
Iraq,IRQ,437370,437370,434320,434128,434128
Ireland,IRL,68890,68890,68890,68890,68890
Isle of Man,IMN,570,570,570,570,570
Israel,ISR,21640,21640,21640,21640,21640
Italy,ITA,295718,295718,295718,295718,295717
Jamaica,JAM,10830,10830,10830,10830,10830
Japan,JPN,364500,364500,364500,364500,364500
Jordan,JOR,88240,88240,88780,88780,88794
Kazakhstan,KAZ,2699700,2699700,2699700,2699700,2699700
Kenya,KEN,569140,569140,569140,569140,569140
Kiribati,KIR,810,810,810,810,810
Democratic People's Republic of Korea,PRK,120410,120410,120410,120410,120410
Republic of Korea,KOR,96740,96880,97190,97489,97600
Kosovo,XKX,,,,,
Kuwait,KWT,17820,17820,17820,17820,17820
Kyrgyzstan,KGZ,191800,191800,191800,191800,191800
Lao People's Democratic Republic,LAO,230800,230800,230800,230800,230800
Late-demographic dividend,LTE,44415246.94,44525522.49,44524759.95,44524912.4,44521646
Latin America & Caribbean,LCN,20042212,20041242,20042203,20039160,20038201
Latin America & Caribbean (excluding high income),LAC,17943410,17942440,17942873,17940050,17939031
Latin America & the Caribbean (IDA & IBRD countries),TLA,19913632,19913632,19913632,19913412,19912693
Latvia,LVA,62227,62227,62227,62227,62230
Least developed countries: UN classification,LDC,20127151,20274015.25,20274847.05,20398270.97,20398133.09
Lebanon,LBN,10230,10230,10230,10230,10230
Lesotho,LSO,30360,30360,30360,30360,30360
Liberia,LBR,96320,96320,96320,96320,96320
Libya,LBY,1759540,1759540,1759540,1759540,1759540
Liechtenstein,LIE,160,160,160,160,160
Lithuania,LTU,62680,62680,62674,62642,62610
Low & middle income,LMY,93249631.94,93503360.75,93501120,93624520.37,93629196.56
Low income,LIC,14471940,14620407.25,14621419.05,14745325.97,14745302.09
Lower middle income,LMC,24007800.74,24017722.09,24018282.95,24020672.4,24014688
Luxembourg,LUX,2574.46,2574.46,2574.46,2574.46,2574.46
Madagascar,MDG,581540,581540,581795,581800,581800
Malawi,MWI,94280,94280,94280,94280,94280
Malaysia,MYS,328550,328550,328550,328550,328550
Maldives,MDV,300,300,300,300,300
Mali,MLI,1220190,1220190,1220190,1220190,1220190
Malta,MLT,320,320,320,320,320
Marshall Islands,MHL,180,180,180,180,180
Mauritania,MRT,1030700,1030700,1030700,1030700,1030700
Mauritius,MUS,2030,2030,1997,1997,1997
Mexico,MEX,1943950,1943950,1943950,1943950,1943950
Micronesia (Federated States of),FSM,700,700,700,700,700
Middle East & North Africa,MEA,11226250,11226130,11223647,11223348,11217118
Middle East & North Africa (excluding high income),MNA,8643940,8643790,8641280,8641089,8634848
Middle East & North Africa (IDA & IBRD countries),TMN,8637920,8637770,8635260,8635069,8628823
Middle income,MIC,78777691.94,78882953.49,78879700.95,78879194.4,78883894.47
Republic of Moldova,MDA,32880,32890,32850,32880,32970
Monaco,MCO,2.027,2.027,2.027,2.027,2.084
Mongolia,MNG,1547438.742,1557459.093,1557251.947,1557255.4,1557507
Montenegro,MNE,,13450,13450,13450,13450
Morocco,MAR,446300,446300,446300,446300,446300
Mozambique,MOZ,786380,786380,786380,786380,786380
Myanmar,MMR,653540,653470,653290,652780,652670
Namibia,NAM,823290,823290,823290,823290,823290
Nauru,NRU,20,20,20,20,20
Nepal,NPL,143350,143350,143350,143350,143350
Netherlands,NLD,33760,33760,33720,33670,33670
New Caledonia,NCL,18280,18280,18280,18280,18280
New Zealand,NZL,263310,263310,263310,263310,263310
Nicaragua,NIC,120340,120340,120340,120340,120340
Niger,NER,1266700,1266700,1266700,1266700,1266700
Nigeria,NGA,910770,910770,910770,910770,910770
North America,NAC,18127564,18127564,18113064,18113064,17936174
North Macedonia,MKD,25430,25430,25220,25220,25220
Northern Mariana Islands,MNP,460,460,460,460,460
Norway,NOR,365244,365244,365244,365145.73,364270
Not classified,INX,,,,,
OECD members,OED,35510394.52,35510288.41,35497492.79,35509557.06,35331823.4
Oman,OMN,309500,309500,309500,309500,309500
Other small states,OSS,2018881,2030678,2030672,2031671,2031538
Pacific island small states,PSS,64200,64200,64200,64200,64150
Pakistan,PAK,770880,770880,770880,770880,770880
Palau,PLW,460,460,460,460,460
Panama,PAN,74340,74340,74340,74120,74180
Papua New Guinea,PNG,452860,452860,452860,452860,452860
Paraguay,PRY,397300,397300,397300,397300,397300
Peru,PER,1280000,1280000,1280000,1280000,1280000
Philippines,PHL,298170,298170,298170,298170,298170
Poland,POL,306290,306320,306230,306190,306100
Portugal,PRT,91500,91470,91590,91605.6,91605.6
Post-demographic dividend,PST,31353207.52,31350250.01,31337896.69,31346159.56,31168492.4
Pre-demographic dividend,PRE,20166981,20186985.03,20184984.99,20308716.46,20308679.83
Puerto Rico,PRI,8870,8870,8870,8870,8870
Qatar,QAT,11610,11610,11610,11490,11490
Romania,ROU,229710,229980,230170,230080,230080
Russian Federation,RUS,16380440,16377740,16376870,16376870,16376870
Rwanda,RWA,24670,24670,24670,24670,24670
Samoa,WSM,2830,2830,2830,2830,2780
San Marino,SMR,60,60,60,60,60
Sao Tome and Principe,STP,960,960,960,960,960
Saudi Arabia,SAU,2149690,2149690,2149690,2149690,2149690
Senegal,SEN,192530,192530,192530,192530,192530
Serbia,SRB,,87460,87460,87460,84090
Seychelles,SYC,460,460,460,460,460
Sierra Leone,SLE,72180,72180,72180,72180,72180
Singapore,SGP,670,694,704,709,718
Sint Maarten (Dutch part),SXM,,,34,34,34
Slovakia,SVK,48100,48100,48088,48080,48080
Slovenia,SVN,20140,20140,20146,20142,20136.4
Small states,SST,2487931,2499728,2499722,2500721,2500538
Solomon Islands,SLB,27990,27990,27990,27990,27990
Somalia,SOM,627340,627340,627340,627340,627340
South Africa,ZAF,1213090,1213090,1213090,1213090,1213090
South Asia,SAS,4772630,4770947,4770947,4770157,4770120
South Asia (IDA & IBRD),TSA,4772630,4770947,4770947,4770157,4770120
South Sudan,SSD,,,,631930,631930
Spain,ESP,498520,498980,499880,499564,499733.244
Sri Lanka,LKA,62710,62710,62710,61893,61860
St. Kitts and Nevis,KNA,260,260,260,260,260
Saint Lucia,LCA,610,610,610,610,610
St. Martin (French part),MAF,,,50,50,50
Saint Vincent and the Grenadines,VCT,390,390,390,390,390
Sub-Saharan Africa,SSF,23617391,23766008.25,23766987.05,23890893.97,23890863.09
Sub-Saharan Africa (excluding high income),SSA,23616931,23765548.25,23766527.05,23890433.97,23890403.09
Sub-Saharan Africa (IDA & IBRD countries),TSS,23617391,23766008.25,23766987.05,23890893.97,23890863.09
Sudan,SDN,2376000,2376000,2376000,1868000,1868000
Suriname,SUR,156000,156000,156000,156000,156000
Sweden,SWE,407339.7,407339.7,407339.7,407310.64,407283.54
Switzerland,CHE,39522.36,39516.245,39512.626,39509.63,39509.63
Syrian Arab Republic,SYR,183780,183630,183630,183630,183630
Tajikistan,TJK,139960,139960,139960,138790,138790
United Republic of Tanzania,TZA,885800,885800,885800,885800,885800
Thailand,THA,510890,510890,510890,510890,510890
Timor-Leste,TLS,14870,14870,14870,14870,14870
Togo,TGO,54390,54390,54390,54390,54390
Tonga,TON,720,720,720,720,720
Trinidad and Tobago,TTO,5130,5130,5130,5130,5130
Tunisia,TUN,155360,155360,155360,155360,155360
Turkiye,TUR,769630,769630,769630,769630,769630
Turkmenistan,TKM,469930,469930,469930,469930,469930
Turks and Caicos Islands,TCA,950,950,950,950,950
Tuvalu,TUV,30,30,30,30,30
Uganda,UGA,199810,199810,200520,200520,200520
Ukraine,UKR,579350,579360,579320,579290,579400
United Arab Emirates,ARE,71020,71020,71020,71020,71020
United Kingdom of Great Britain and Northern Ireland,GBR,241930,241930,241930,241930,241930
United States of America,USA,9161920,9161920,9147420,9147420,9147420
Upper middle income,UMC,54769891.2,54865231.4,54861418,54858522,54869206.47
Uruguay,URY,175020,175020,175020,175020,175020
Uzbekistan,UZB,435911,435850,435809,440591,440653
Vanuatu,VUT,12190,12190,12190,12190,12190
Venezuela (Bolivarian Republic of),VEN,882050,882050,882050,882050,882050
Viet Nam,VNM,311090,312795,313284,313387,313429
United States Virgin Islands,VIR,350,350,350,350,350
West Bank and Gaza,PSE,6020,6020,6020,6020,6025
World,WLD,129575915.5,129829916.8,129815636.7,129950689,129777684.1
Yemen,YEM,527970,527970,527970,527970,527970
Zambia,ZMB,743390,743390,743390,743390,743390
Zimbabwe,ZWE,386850,386850,386850,386850,386850
"China, Taiwan Province of",TWN,36197,36197,36197,36197,36197
Cook Islands,COK,236,236,236,236,236
Falkland Islands (Malvinas),FLK,12173,12173,12173,12173,12173
French Guiana,GUF,83534,83534,83534,83534,83534
Guadeloupe,GLP,1628,1628,1628,1628,1628
Martinique,MTQ,1128,1128,1128,1128,1128
Mayotte,MYT,374,374,374,374,374
Montserrat,MSR,102,102,102,102,102
Niune,NIU,261,261,261,261,261
Norfolk Island,NFK,34,34,34,34,34
Palestine,PSE,6020,6020,6020,6020,6020
Pitcairn,PCN,47,47,47,47,47
R̩union,REU,2511,2511,2511,2511,2511
"Saint Helena, Ascension and Tristan da Cunha",SHN,394,394,394,394,394
Saint Pierre and Miquelon,SPM,242,242,242,242,242
Svalbard and Jan Mayen Islands,SJM,61339,61339,61339,61339,61339
Tokelau,TKL,10,10,10,10,10
Wallis and Futuna Islands,WLF,142,142,142,142,142