Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Luxembourg,LUX,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,,
"Macao SAR, China",MAC,20,26,27,27,28,28,28.6,29.2,29.2,29.5,29.7,29.9,29.9,30.3,30.3,30.4,30.5,30.8,32.9,32.9,32.9,33,,
Madagascar,MDG,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581795,581795,581800,581800,581800,581800,581800,581800,581800,581800,581800,,
Malawi,MWI,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,,
Malaysia,MYS,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,,
Maldives,MDV,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,
Mali,MLI,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,,
Malta,MLT,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,,
Marshall Islands,MHL,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,
Mauritania,MRT,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,,
Mauritius,MUS,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,,
Mexico,MEX,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,,
Micronesia (Federated States of),FSM,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,,
Moldova,MDA,32880,32880,32880,32870,32880,32890,32890,32890,32890,32890,32850,32850,32860,32880,32880,32880,32880,32890,32885.3,32885.9,32884.6,32970,,
Monaco,MCO,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.084,,
Mongolia,MNG,1547438.742,1547438.742,1547438.968,1554686.058,1554444.019,1554444.091,1557459.093,1557459.093,1557465.087,1557465.134,1557292.418,1557251.947,1557251.946,1557253.053,1557252.921,1557255.4,1557255.4,1557255.4,1557255,1557258,1557506.803,1557507,,
Montenegro,MNE,,,,,,,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,,
Morocco,MAR,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,,
Mozambique,MOZ,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,,
Myanmar,MMR,653540,653540,653540,653540,653420,653360,653470,653520,653310,653300,653260,653290,653150,653080,653080,653080,652780,652750,652700,652700,652670,652670,,
Namibia,NAM,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,,
Nauru,NRU,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
Nepal,NPL,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,,
Netherlands Antilles (former),NLD,33760,33760,33760,33760,33760,33760,33760,33760,33760,33730,33730,33720,33720,33690,33690,33670,33670,33670,33670,33670,33670,33670,,
New Caledonia,NCL,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,,
New Zealand,NZL,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,,
Nicaragua,NIC,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,,
Niger,NER,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,,
Nigeria,NGA,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,,
North America,NAC,18127564,18127564,18127564,18127564,18127564,18127564,18127564,18127564,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,17936174,,
North Macedonia,MKD,25430,25430,25430,25430,25430,25430,25430,25230,25230,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,,
Northern Mariana Islands,MNP,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,,
Norway,NOR,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365244,365122.96,365108,365190.7,365145.73,365123,365108,365094,364285,364270,,
Oman,OMN,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,,
Pakistan,PAK,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,,
Palau,PLW,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,,
Panama,PAN,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74120,74120,74120,74120,74180,74180,74180,74180,,
Papua New Guinea,PNG,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,,
Paraguay,PRY,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,,
Peru,PER,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,,
Philippines,PHL,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,,
Poland,POL,306290,306290,306290,306240,306330,306330,306320,306320,306300,306280,306280,306230,306220,306210,306190,306190,306190,306190,306170,306110,306130,306100,,
Portugal,PRT,91500,91500,91500,91500,91500,91470,91470,91470,91470,91590,91590,91590,91590,91605.2,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6,,
Puerto Rico,PRI,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,,
Qatar,QAT,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11490,11490,11490,11490,11490,11490,11490,11490,,
Romania,ROU,229710,229710,229870,229950,230000,229980,229980,229890,229900,230060,230050,230170,230020,230030,230080,230080,230080,230080,230080,230080,230080,230080,,
Russian Federation,RUS,16381340,16380440,16380940,16380980,16381230,16381390,16377740,16377740,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,16376870,,
Rwanda,RWA,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,,
Samoa,WSM,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2780,2780,2780,2780,2780,,
San Marino,SMR,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,
Sao Tome and Principe,STP,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,,
Saudi Arabia,SAU,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,,
Senegal,SEN,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,,
Serbia,SRB,,,,,,,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,87460,84090,84090,,
Seychelles,SYC,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,,
Sierra Leone,SLE,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,,
Singapore,SGP,670,670,675,687,689,689,694,695,700,700,702,704,706,707,709,709,709,712,714,716,718,718,,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,34,34,34,34,34,34,34,34,34,34,34,,
Slovakia,SVK,48100,48100,48100,48110,48100,48100,48100,48100,48100,48090,48091,48088,48088,48088,48080,48082,48080,48080,48080,48080,48080,48080,,
Slovenia,SVN,20140,20140,20140,20140,20140,20140,20140,20140,20146.2,20145.8,20146.2,20146,20145.7,20140,20140,20142.6,20142,20138.1,20136.4,20136.4,20136.4,20136.4,,
Solomon Islands,SLB,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,,
Somalia,SOM,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,627340,,
South Africa,ZAF,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,,
South Asia,SAS,4772630,4772630,4772630,4772630,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770130,4770157,4770157,4770124,4770124.47,4770120,4770120,,
South Asia (IDA & IBRD),TSA,4772630,4772630,4772630,4772630,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770947,4770130,4770157,4770157,4770124,4770124.47,4770120,4770120,,
South Sudan,SSD,,,,,,,,,,,,,631930,631930,631930,631930,631930,631930,631930,631930,631930,631930,,
Spain,ESP,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,499661,499564,499547.35,499603.479,499570.036,499556.645,499733.244,,
Sri Lanka,LKA,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,61893,61893,61893,61864,61864.47,61860,61860,,
St. Kitts and Nevis,KNA,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,,
St. Lucia,LCA,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,,
St. Martin (French part),MAF,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,,
St. Vincent and the Grenadines,VCT,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,,
Sudan (former),SDN,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,1868000,1868000,1868000,1868000,1868000,1868000,1868000,1868000,1868000,1868000,,
Suriname,SUR,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,,
Sweden,SWE,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407339.7,407310.64,407310.64,407310.64,407310.64,407283.59,407283.532,407283.54,,
Switzerland,CHE,39523.581,39522.36,39521.139,39519.917,39518.694,39517.47,39516.245,39515.02,39514.422,39513.824,39513.225,39512.626,39512.028,39511.428,39510.829,39510.23,39509.63,39509.63,39509.63,39509.63,39509.63,39509.63,,
Syrian Arab Republic,SYR,183780,183780,183780,183590,183570,183570,183630,183640,183640,183640,183630,183630,183630,183630,183630,183630,183630,183630,183630,183630,183630,183630,,
Tajikistan,TJK,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,139960,138786,138790,138790,138790,138790,138790,138790,138790,,
United Republic of Tanzania,TZA,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,885800,,
Thailand,THA,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,510890,,
Timor-Leste,TLS,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,,
Togo,TGO,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,54390,,
Tonga,TON,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,,
Trinidad and Tobago,TTO,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,,
Tunisia,TUN,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,155360,,
Türkiye,TUR,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,769630,,
Turkmenistan,TKM,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,469930,,
Turks and Caicos Islands,TCA,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,,
Tuvalu,TUV,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
Uganda,UGA,199810,199810,199810,199810,199810,199810,199810,199810,199810,199810,200520,200520,200520,200520,200520,200520,200520,200520,200520,200520,200520,200520,,
Ukraine,UKR,579350,579350,579340,579340,579340,579380,579360,579330,579320,579320,579320,579320,579320,579320,579290,579290,579290,579300,579400,579400,579400,579400,,
United Arab Emirates,ARE,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,,
United Kingdom of Great Britain and Northern Ireland,GBR,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,,
United States of America,USA,9161920,9161920,9161920,9161920,9161920,9161920,9161920,9161920,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,,
Uruguay,URY,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,175020,,
Uzbekistan,UZB,435965,435911,435911,435877,435853,435849,435850,435984,435967,435945,435892,435809,435800,435789,435789,440600,440591,440588,440587,440555,440650,440653,,
Vanuatu,VUT,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,,
Venezuela (Bolivarian Republic of),VEN,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,882050,,
Viet Nam,VNM,311060,311090,310550,310070,310070,312837,312795,312558,312792,312762,313294,313284,313457,313007.33,313371,313383,313387,313403,313429,313429,313429,313429,,
Virgin Islands (U.S.),VIR,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,,
Yemen,YEM,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,,
Zambia,ZMB,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,,
Zimbabwe,ZWE,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,,
"China, Taiwan Province of",TWN,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,36197,,
Cook Islands,COK,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,,
Falkland Islands (Malvinas),FLK,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,12173,,
French Guiana,GUF,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,83534,,
Guadeloupe,GLP,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,,
Martinique,MTQ,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,,
Mayotte,MYT,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,,
Montserrat,MSR,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
Niune,NIU,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,,
Norfolk Island,NFK,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
Palestine,PSE,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,,
Pitcairn,PCN,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
Réunion,REU,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511,,
"Saint Helena, Ascension and Tristan da Cunha",SHN,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,,
Saint Pierre and Miquelon,SPM,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,,
Svalbard and Jan Mayen Islands,SJM,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,61339,,
Tokelau,TKL,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Wallis and Futuna Islands,WLF,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,,
France,FRA,547567,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,,